Id,question_text,difficulty_level,category,hint,correct_answer,answer_option1,answer_option2,answer_option3,answer_option4,recommended_level
1,"Drew measured 96m using an 8m tape measure. How many times did he need to use the tape measure?",medium,Math,"Divide the total distance by the length of the tape measure.",12,11,12,13,14,5
2,"What is 2 + 2?",easy,Math,"Basic arithmetic",4,3,4,5,6,1
3,"What is the name of the process plants use to convert sunlight into food?",medium,Science,"It occurs in the chloroplasts.",Photosynthesis,Photosynthesis,Respiration,Transpiration,Germination,5
4,"What is 3 * 9?",easy,Math,Multiplication,27,6,27,9,10,1
5,"What is 3 * 3?",easy,Math,Multiplication,9,6,7,9,10,1
6,"Who developed the theory of relativity?",medium,Science,"He is one of the most famous physicists in history.","Albert Einstein","Albert Einstein","Isaac Newton","Galileo Galilei","Nikola Tesla",5
7,"What is the area of a triangle with a base of 8 cm and a height of 5 cm?",medium,Math,"Use the formula: (1/2) * base * height.","20 cm²","20 cm²","30 cm²","40 cm²","25 cm²",5
8,"What is 2 / 2?",easy,Math,"Basic arithmetic",1,1,4,5,6,1
9,"What type of bond involves the sharing of electron pairs between atoms?",hard,Science,"It is the strongest type of chemical bond.",Covalent,Covalent,Ionic,Hydrogen,Metallic,10
10,"What is the result of 7 cubed (7^3)?",medium,Math,"7 * 7 * 7.",343,343,49,2401,147,5
11,"What is the perimeter of a square with a side length of 9 cm?",medium,Math,"Perimeter of a square is 4 times the side length.","36 cm","36 cm","81 cm","45 cm","27 cm",5
12,"What is the most abundant gas in the Earth’s atmosphere?",hard,Science,"Makes up around 78%",Nitrogen,Oxygen,Nitrogen,"Carbon Dioxide",Argon,10
13,"What is the atomic number of carbon?",medium,Science,"It is essential for life on Earth.",6,6,8,12,14,5
14,"Which element is known as the "King of Chemicals"?",hard,Science,"It is the most widely produced chemical in the world.","Sulfuric acid","Sulfuric acid","Hydrochloric acid","Nitric acid","Acetic acid",10
15,"Simplify: 4(3x + 2) = ?",medium,Math,"Distribute the 4.","12x + 8","12x + 8","12x + 2","7x + 4","3x + 8",5
16,"What is the square root of 16?",medium,Math,"Square root calculation",4,2,3,4,5,5
17,"Solve for x: 2x + 3 = 7",medium,Math,"Simple algebra",2,1,2,3,4,5
18,"Jazz is painting classrooms, and needs 9 liters of paint per room. If she has 108 liters of paint, how many rooms can she paint?",medium,Math,"Divide the total liters of paint by the liters needed per room.",12,11,12,13,14,5
19,"What is the main component of the sun?",easy,Science,"It is the most abundant element in the universe.",Hydrogen,Hydrogen,Helium,Carbon,Oxygen,1
